City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Clovis,US,36.8252,-119.7029,105.85,22,20,1.01,smoke
179,Siguiri,GN,11.6667,-9.5,74.53,88,95,3.78,moderate rain
180,Kishi,NG,9.0833,3.85,72.97,87,94,5.26,overcast clouds
181,Chuy,UY,-33.6971,-53.4616,54.21,97,100,12.03,light rain
182,Geraldton,AU,-28.7667,114.6,61.21,63,75,13.8,broken clouds
183,Hobyo,SO,5.3505,48.5268,76.51,82,49,25.37,scattered clouds
184,Henderson,US,36.0397,-114.9819,103.19,23,1,23.02,clear sky
185,Fortuna,US,40.5982,-124.1573,86.18,86,90,3.0,overcast clouds
186,Cairns,AU,-16.9167,145.7667,80.11,79,40,4.61,scattered clouds
187,Veranopolis,BR,-28.9361,-51.5494,58.91,85,56,3.11,broken clouds
188,Chiredzi,ZW,-21.05,31.6667,58.08,80,100,8.28,overcast clouds
189,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,3.44,broken clouds
190,Half Moon Bay,US,37.4636,-122.4286,88.75,70,20,1.01,few clouds
191,Souillac,MU,-20.5167,57.5167,66.58,82,20,4.61,few clouds
192,Nosy Varika,MG,-20.5833,48.5333,64.76,92,57,3.96,light rain
193,Touros,BR,-5.1989,-35.4608,76.1,81,91,13.35,overcast clouds
194,Kabare,CD,-2.4683,28.8242,60.35,96,100,1.5,light rain
195,Kavieng,PG,-2.5744,150.7967,85.21,68,84,9.93,broken clouds
196,Kieta,PG,-6.2167,155.6333,86.32,67,48,9.26,scattered clouds
197,Payakumbuh,ID,-0.2202,100.6308,68.25,82,99,3.56,overcast clouds
198,Merauke,ID,-8.4667,140.3333,81.19,82,98,13.29,overcast clouds
199,Bayangol,RU,50.6977,103.4656,60.21,70,9,1.32,clear sky
200,Lujan,AR,-34.5703,-59.105,53.31,98,100,8.72,moderate rain
201,Kalmunai,LK,7.4167,81.8167,81.64,76,100,2.62,overcast clouds
202,Ostrovnoy,RU,68.0531,39.5131,49.71,97,100,17.58,overcast clouds
203,Alofi,NU,-19.0595,-169.9187,82.29,78,75,8.05,broken clouds
204,Paamiut,GL,61.994,-49.6678,41.76,97,83,4.5,broken clouds
205,Tiksi,RU,71.6872,128.8694,43.23,68,93,21.25,overcast clouds
