City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
447,Aleksandrov Gay,RU,71.8,broken clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
448,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
450,Sarangani,PH,83.1,overcast clouds,5.4033,125.4636,Ballistic Islet
456,Jalu,LY,83.35,scattered clouds,29.0331,21.5482,صاحبة الفخامة
457,Baghdad,IQ,89.51,clear sky,33.3406,44.4009,Baghdad Hotel
458,West Odessa,US,89.62,clear sky,31.8424,-102.4988,Corporate Mobile Housing
460,Tripoli,LY,77.9,few clouds,32.8752,13.1875,Hotel Al-Safwa
462,Mumford,GH,75.81,light rain,5.2618,-0.759,Spanish Villa
463,Phan Thiet,VN,78.19,moderate rain,10.9333,108.1,Hotel Saigon-PT
466,Seoul,KR,88.21,few clouds,37.5683,126.9778,롯데호텔 서울
468,Dakar,SN,80.73,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
469,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
470,Amli,IN,77.31,overcast clouds,20.2833,73.0167,Hotel Soubhagya Inn
473,Titel,RS,77.0,clear sky,45.2061,20.2944,Mala Ulica 2
475,Xiongzhou,CN,85.01,scattered clouds,25.1167,114.3,Xinhewan Business Hotel
480,Sao Jose Da Coroa Grande,BR,75.36,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
481,Karpathos,GR,76.82,clear sky,35.507,27.2132,Alex
483,Turan,VN,84.25,few clouds,16.0678,108.2208,Sun River Hotel
486,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
487,Houma,US,84.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
488,Eyl,SO,78.69,broken clouds,7.9803,49.8164,Amiin Hotel
489,Tayu,ID,75.67,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
490,Irbil,IQ,89.42,clear sky,36.1926,44.0106,Erbil International Hotel
492,Shache,CN,76.48,scattered clouds,38.4167,77.2406,Delong Hotel
493,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
497,Nabire,ID,78.44,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
501,Old Saybrook,US,81.43,clear sky,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
503,Porbandar,IN,81.93,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
510,Banamba,ML,83.93,overcast clouds,13.55,-7.45,Kassela de Banamba
513,Shenjiamen,CN,79.72,broken clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
515,Cayenne,GF,79.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
517,Skeldon,GY,76.15,broken clouds,5.8833,-57.1333,Rits Hotel
519,Arak,IR,72.77,clear sky,34.0917,49.6892,خانه سازمانهای غیر دولتی استان مرکزی
521,Itacare,BR,75.09,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
522,Amga,RU,75.81,broken clouds,60.8953,131.9608,Algys
523,Paracuru,BR,80.62,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
524,Hailakandi,IN,75.61,overcast clouds,24.6833,92.5667,Hotel Purnolaxmi
525,Shelburne,CA,76.86,few clouds,44.0787,-80.2041,The Retreat at the Farm
529,Malakal,SS,72.45,overcast clouds,9.5334,31.6605,Nile Palace Hotel
530,Antsohihy,MG,70.84,clear sky,-14.8796,47.9875,Hotel de Ville
531,Mahon,ES,72.16,broken clouds,39.8885,4.2658,ARTIEM Capri
532,La Mana,EC,83.89,light rain,-0.9333,-79.2167,Hotel Somagg
533,Areosa,PT,74.08,broken clouds,41.7178,-8.8571,Hotel Flôr de Sal
535,Svetlyy,RU,71.65,light rain,54.675,20.1347,"Gostinitsa-Kafe, Alena"
537,Dickinson,US,85.98,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
538,Moerai,PF,75.72,scattered clouds,-22.4333,-151.3333,Le Manotel
539,Okha,RU,71.47,clear sky,53.5739,142.9478,Империя
540,Pitsunda,GE,73.58,broken clouds,43.1592,40.3378,Hotel FREEDOM
541,Tulum,MX,84.97,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
546,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
547,Drayton Valley,CA,79.92,light rain,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
553,Tashigang,BT,71.56,overcast clouds,27.3331,91.5542,Lingkhar Lodge
554,Arnprior,CA,81.34,clear sky,45.4334,-76.3494,Country Squire Motel
555,Jhajjar,IN,85.32,broken clouds,28.6063,76.6565,Sainik Rest House
